"name","description","address","zipcode","city","longitude","latitude"
"CORRIC ORGANISATION","O","35 avenue de la republique","69370","SAINT-DIDIER-AU-MONT-D'OR","4.797734","45.812856"
"AMICALE CHEMINOTS RETRAITES DE LA CLASSE 45","O","7 rue de la claveliere","69600","OULLINS","4.816789","45.707757"
"BANDE PASSANTE","O","31 rue komarov","69200","VENISSIEUX","4.876187","45.691125"
"ASSOCIATION SPORTIVE DE TECHNOMED INTERNATIONAL","O","Technomed international","69200","VENISSIEUX","4.88945","45.695885"
"LES AMIS DU SYNDICAT INTERCOMMUNAL DE L'ECOLE DE MUSIQUE(SIEM)","O","Siem","69360","SAINT-SYMPHORIEN-D'OZON","4.870588","45.63828"
"AUTO'GRAPH","Promouvoir les sports et loisirs par l'organisation de voyages et de manifestation de sport automobile . concours photos video stages de pilotage film video.","31 montee des roches","69340","FRANCHEVILLE","4.765236","45.729645"
"LES AMIS DU BLUES","Faire et connaitre et etudier la musique blues","25 boulevard de l'europe","69600","OULLINS","4.808542","45.706261"
"INSTITUT DE FORMATION AUX ACTIVITES ET PROFESSIONS SPORTIVES IFAPS","toutes manifestations extérieures à l'école, culturelles sportives ludiques","34 36 route de saint romain","69450","SAINT-CYR-AU-MONT-D'OR","4.82713","45.814163"
"CONCILIABULES","Rassembler des associations qui dans le department du rhone concourent a l insertion sociale par la culture","156 cours tolstoi","69100","VILLEURBANNE","4.886294","45.759894"
"JEUNESSE OUVRIERE CHRETIENNE DE RILLIEUX","Aider les jeunes travailleurs de parfaire leur education sociale","Chez melle pembele 29 avenue du mont blanc","69140","RILLIEUX-LA-PAPE","4.896504","45.810923"
"PROMO COEUR OUVERT MAROC","Promouvoir la chirurgie cardiaque au maroc","3 boulevard claude debussy","69680","CHASSIEU","4.956894","45.744945"
"TAEKWONDO RHONE ALPES","Pratique et developpement du taekwondo","Chez mme matijasevic 1 allee athena ii","69100","VILLEURBANNE","4.863415","45.777639"
"ASSOCIATION POUR LE DEVELOPPEMENT DE LA RECHERCHE EN IMMUNOLOGIE MOLECULAIREADRIM","Developper et promouvoir la recherche en immunologie moleculaire","Adrim 23 chemin des balmes","69110","SAINTE-FOY-LES-LYON","4.789481","45.726947"
"NUAGES ASSOCIATION","Developpementde la pratique de tous les sports et du parachutisme","23 route de lyon","69740","GENAS","4.989269","45.734435"
"FRANCE HAPKIDO HANKIDO ASSOCIATION","Informations et conseils concernant le taekwondo","121 rue coste 17 allee jm phily","69300","CALUIRE-ET-CUIRE","4.834974","45.790893"
"ART CULTURE ET TRADITION","Promouvoir l'art la culture et les traditions dans de petites","36 rue de grand champs","69890","LA-TOUR-DE-SALVAGNY","4.708924","45.819452"
"ECHANGE ET VOYAGES D'ETUDES POUR LES ELEVES INFIRMIERS DE LYONEVEEIL","Conception de stages a l'etranger","8 place general leclerc","69350","LA-MULATIERE","4.815766","45.72665"
"ASSOCIATION DES JEUNES DE LA CITE BERLIET","O","Salle du quartier 1ere avenue cite berliet","69800","SAINT-PRIEST","4.902213","45.709542"
"ASSOCIATION SPORTIVE SCOLAIRE DES MARAIS","Former la responsabilite le civisme et l'autonomie par la pratique","Ecole des marais","69150","DECINES-CHARPIEU","4.9611","45.784388"
"ASSOCIATION DES CHARGES DE LA COMMUNICATION DES COMMUNES RHONE ALPES A3C","Creer un reseau entre les differents services communication des","60 rue alexandre boutin","69100","VILLEURBANNE","4.868787","45.767053"
"MOV'ART","Promouvoir au developpement d'activites artistiques","18, chemin des Sauvages","69360","TERNAY","4.806887","45.606753"
"CERCLE D'ETUDES DENTAIRE ET MEDICAL","Organisation des voyages d'etudes et favoriser des echanges","36 bis chemin des hautes sellettes","69540","IRIGNY","4.81905","45.663527"
"DYNAMITE CLUB","Developper la pratique de la culture physique","4 avenue carnot","69250","NEUVILLE-SUR-SAONE","4.836124","45.879934"
"JOB ASSISTANCE","Depannage lors de surcroits de travail dans les services","95 rue des collonges le champlong al 1","69230","SAINT-GENIS-LAVAL","4.807149","45.692633"
"COMMUNICATION SCENE","Proposer a des associations ou des entreprises des seances de","29 rue benoit bennier","69260","CHARBONNIERES-LES-BAINS","4.748445","45.776689"
"SYNDICAT D'INITIATIVE DES ILES ET COTEAUX DU LYONNAIS","Developper l'activite touristique","Mairie de vernaison","69390","VERNAISON","4.815171","45.653467"
"ALTERNATIVE COMMUNALE","Constituer une force de proposition donner la parole a tous les","Maison des associations 19 rue bourchanin","69390","MILLERY","4.781078","45.632639"
"JCL 144 PRODUCTIONS","Promotionner ou communiquer tous spectacles de chants danses curiosites ou varietes","2 avenue de limburg","69110","SAINTE-FOY-LES-LYON","4.779197","45.734286"
"ECOLE DES ARTS CULINAIRES ET DE L'HOTELLERIE","Developper toutes activites de formation initiale se rapportant","Chateau du vivier","69130","ECULLY","4.775341","45.779327"
"CREAMOD' PRODUCTION","Production d'un show mode","Chez gervaise 27 rue guillermin","69500","BRON","4.92193","45.745582"
"NEO MISS IN","Organisation d'activites culturelles et sportives au sein du","75 avenue du 8 mai 1945","69500","BRON","4.916588","45.727051"
"LE PETIT OPERA DE L'ISLE","Promotion de la danse","6 rue nicolas garnier","69100","VILLEURBANNE","4.911196","45.75358"
"ASSOCIATION SPORTIVE OXAL","Football","Oxal france cd 42 route de brignais","69230","SAINT-GENIS-LAVAL","4.768716","45.707306"
"ASSOCIATION LOCALE DES FEMMES ALGERIENNES ALFA","Oeuvrer au developpement de la solidarite et au renforcement de","Chez mme hadjab 27 rue du 8 mai 1945","69100","VILLEURBANNE","4.891504","45.781147"
"COMITE DE DEFENSE DE LIMONEST CONTRE LES NOUVELLES NUISANCES AUTOROUTIERES","Defense et protection des interets des habitants de limonest","Mairie de limonest","69760","LIMONEST","4.766699","45.824725"
"PROGRES PHYSIQUE CHIMIE MATHEMATIQUES PPCM","Permettre une autre approche des disciplines scientifiques","78 a rue parmentier","69190","SAINT-FONS","4.861378","45.705597"
"ASSOCIATION DU VALLON BROTTEAUX HERMIERES","Qualite de la vie dans le vallon","Mairie de francheville 1 rue du robert","69340","FRANCHEVILLE","4.764511","45.736328"
"ALBATROS ASSOCIATION POUR LE MECENAT ET LE PARTENARIATSCIENTIFIQUE ET MEDICAL AU PROFIT DE LA MUCOVISCIDOSE","Favoriser la recherche","28 avenue victor hugo","69160","TASSIN-LA-DEMI-LUNE","4.784309","45.766572"
